instance,method,seed,iters,top_k,C1,C2,C3,runtime_sec
instance1.json,local,1,1200,3,39,29,-9,0.088737
instance1.json,local,2,1200,3,39,32,-7,0.092449
instance1.json,local,3,1200,3,39,34,-7,0.094778
instance1.json,local,4,1200,3,39,32,-5,0.084694
instance1.json,local,5,1200,3,39,29,-7,0.097854
instance1.json,local,6,1200,3,39,33,-7,0.094457
instance1.json,local,7,1200,3,39,32,-5,0.100382
instance1.json,local,8,1200,3,39,34,-3,0.093505
instance1.json,local,9,1200,3,38,33,-5,0.084041
instance1.json,local,10,1200,3,39,34,-7,0.097317
instance1.json,no_local,1,0,3,36,29,-9,0.000342
instance1.json,no_local,2,0,3,38,32,-7,0.00032
instance1.json,no_local,3,0,3,36,34,-7,0.000249
instance1.json,no_local,4,0,3,38,30,-5,0.000243
instance1.json,no_local,5,0,3,37,31,-7,0.00024
instance1.json,no_local,6,0,3,36,30,-7,0.000243
instance1.json,no_local,7,0,3,37,32,-5,0.000536
instance1.json,no_local,8,0,3,38,32,-3,0.000294
instance1.json,no_local,9,0,3,36,32,-5,0.000402
instance1.json,no_local,10,0,3,38,32,-7,0.000242
instance10.json,local,1,1200,3,220,152,-1,0.455834
instance10.json,local,2,1200,3,220,155,-2,0.441046
instance10.json,local,3,1200,3,220,145,-2,0.440289
instance10.json,local,4,1200,3,219,150,-1,0.43879
instance10.json,local,5,1200,3,220,143,-2,0.432999
instance10.json,local,6,1200,3,220,160,-2,0.428487
instance10.json,local,7,1200,3,219,148,-2,0.428018
instance10.json,local,8,1200,3,219,151,-2,0.4306
instance10.json,local,9,1200,3,219,157,-2,0.421197
instance10.json,local,10,1200,3,220,153,-1,0.431171
instance10.json,no_local,1,0,3,217,139,-1,0.001545
instance10.json,no_local,2,0,3,217,142,-2,0.001448
instance10.json,no_local,3,0,3,215,134,-2,0.001531
instance10.json,no_local,4,0,3,216,135,-1,0.001559
instance10.json,no_local,5,0,3,217,132,-2,0.001486
instance10.json,no_local,6,0,3,216,159,-2,0.001442
instance10.json,no_local,7,0,3,216,127,-2,0.001434
instance10.json,no_local,8,0,3,218,145,-2,0.001507
instance10.json,no_local,9,0,3,216,148,-2,0.001521
instance10.json,no_local,10,0,3,217,143,-1,0.001783
instance2.json,local,1,1200,3,43,38,-5,0.090276
instance2.json,local,2,1200,3,43,37,-5,0.089133
instance2.json,local,3,1200,3,43,37,-5,0.089263
instance2.json,local,4,1200,3,43,39,-5,0.088672
instance2.json,local,5,1200,3,43,41,-5,0.091673
instance2.json,local,6,1200,3,43,38,-5,0.088719
instance2.json,local,7,1200,3,43,40,-5,0.091823
instance2.json,local,8,1200,3,43,40,-5,0.090545
instance2.json,local,9,1200,3,43,40,-5,0.089828
instance2.json,local,10,1200,3,43,40,-7,0.090257
instance2.json,no_local,1,0,3,41,35,-5,0.000295
instance2.json,no_local,2,0,3,40,37,-5,0.000306
instance2.json,no_local,3,0,3,38,40,-5,0.000318
instance2.json,no_local,4,0,3,42,37,-5,0.000275
instance2.json,no_local,5,0,3,42,40,-5,0.000402
instance2.json,no_local,6,0,3,38,37,-5,0.000275
instance2.json,no_local,7,0,3,43,37,-5,0.00027
instance2.json,no_local,8,0,3,41,39,-5,0.000275
instance2.json,no_local,9,0,3,41,34,-5,0.000271
instance2.json,no_local,10,0,3,42,36,-7,0.00031
instance3.json,local,1,1200,3,94,67,-6,0.152381
instance3.json,local,2,1200,3,94,75,-3,0.155712
instance3.json,local,3,1200,3,94,83,-4,0.152267
instance3.json,local,4,1200,3,94,68,-6,0.154658
instance3.json,local,5,1200,3,94,78,-3,0.153942
instance3.json,local,6,1200,3,94,75,-4,0.151336
instance3.json,local,7,1200,3,94,70,-5,0.152636
instance3.json,local,8,1200,3,94,79,-4,0.150706
instance3.json,local,9,1200,3,94,69,-5,0.15281
instance3.json,local,10,1200,3,94,72,-5,0.151249
instance3.json,no_local,1,0,3,91,68,-6,0.00053
instance3.json,no_local,2,0,3,93,67,-3,0.000583
instance3.json,no_local,3,0,3,91,71,-4,0.000522
instance3.json,no_local,4,0,3,90,63,-6,0.000497
instance3.json,no_local,5,0,3,92,67,-3,0.000493
instance3.json,no_local,6,0,3,91,64,-4,0.000495
instance3.json,no_local,7,0,3,91,64,-5,0.000489
instance3.json,no_local,8,0,3,89,67,-4,0.000495
instance3.json,no_local,9,0,3,91,63,-5,0.000504
instance3.json,no_local,10,0,3,89,66,-5,0.000497
instance4.json,local,1,1200,3,95,72,-5,0.153954
instance4.json,local,2,1200,3,95,72,-4,0.155157
instance4.json,local,3,1200,3,95,75,-5,0.170415
instance4.json,local,4,1200,3,95,67,-5,0.153792
instance4.json,local,5,1200,3,95,70,-4,0.153711
instance4.json,local,6,1200,3,95,75,-4,0.153466
instance4.json,local,7,1200,3,95,76,-4,0.152095
instance4.json,local,8,1200,3,95,74,-3,0.152426
instance4.json,local,9,1200,3,95,76,-4,0.151072
instance4.json,local,10,1200,3,95,71,-4,0.154864
instance4.json,no_local,1,0,3,92,68,-5,0.000815
instance4.json,no_local,2,0,3,91,61,-4,0.000644
instance4.json,no_local,3,0,3,90,71,-5,0.000526
instance4.json,no_local,4,0,3,94,60,-5,0.000519
instance4.json,no_local,5,0,3,92,66,-4,0.000523
instance4.json,no_local,6,0,3,93,64,-4,0.000562
instance4.json,no_local,7,0,3,92,70,-4,0.000515
instance4.json,no_local,8,0,3,93,66,-3,0.00053
instance4.json,no_local,9,0,3,94,74,-4,0.000536
instance4.json,no_local,10,0,3,92,61,-4,0.000516
instance5.json,local,1,1200,3,154,116,-13,0.24508
instance5.json,local,2,1200,3,154,121,-10,0.242551
instance5.json,local,3,1200,3,154,123,-12,0.244915
instance5.json,local,4,1200,3,154,116,-9,0.24874
instance5.json,local,5,1200,3,154,121,-14,0.242032
